"year","carrier_name","arrival","delay","cancelled","diverted","arrival_delay","carrier_delay","wthr_delay","ns_delay","sec_delay","lt_air_delay","on_time"
2003,"American Airlines Inc.",98682,17759,1386,290,996966,0.278360545896249,0.0775633271345262,0.379898612389991,0.00139021792117284,0.262787296658061,0.83545975600464
2003,"American Eagle Airlines Inc.",45558,8850,1452,45,459625,0.27855534403046,0.0460223007886864,0.283076420995377,0.000774544465596954,0.39157138971988,0.814918164743762
2003,"Delta Air Lines Inc.",88787,15836,925,155,739289,0.263365206299566,0.0278578472018385,0.481014866987065,0.00087110723952338,0.226890972272007,0.839966699147612
2003,"ExpressJet Airlines Inc.",33504,6519,555,62,329952,0.161035544564058,0.0522954854039375,0.550667975948017,0.00100923770730288,0.234991756376685,0.824409448818898
2003,"SkyWest Airlines Inc.",55502,5952,686,55,276488,0.49070845750991,0.175609791383351,0.168159196782501,0.009045600532392,0.156476953791846,0.892386847817349
2004,"American Airlines Inc.",121385,28286,2439,258,1659619,0.222805957270916,0.0906232093028581,0.371799190055067,0.00194743492331674,0.312824208447843,0.796656778326158
2004,"American Eagle Airlines Inc.",91535,20159,3172,167,1078771,0.276444212905241,0.0544443630761302,0.268861509996097,0.00114389430194175,0.399106019720589,0.795728182347674
2004,"Delta Air Lines Inc.",127254,25298,1830,214,1147176,0.292618569426139,0.0296336394764186,0.38216542187075,0.00108353033884949,0.294498838887843,0.8231390204145
2004,"ExpressJet Airlines Inc.",73377,16018,1147,179,854769,0.163651232087266,0.0520772278826209,0.478769117738243,0.00216198762472668,0.303340434667144,0.808820449510036
2004,"SkyWest Airlines Inc.",91192,13434,1804,162,656168,0.432041794174663,0.0940887089891613,0.269004279391863,0.00283463990929152,0.202030577535022,0.855523866706695
2005,"American Airlines Inc.",142706,29928,1825,333,1725820,0.250092709552561,0.0656569051233616,0.358863033224786,0.000917824570349167,0.324469527528943,0.816433246372832
2005,"American Eagle Airlines Inc.",101233,20068,2899,204,1049628,0.271553350329831,0.0595077494121727,0.26633912205086,0.00057925284005381,0.402020525367082,0.81374393106331
